id,Ibra,Rattle Tree,Forrest,kNN,Gini Classification Tree,Random Forest Classification,Random Forest Classification,kNN,Classification Tree
37885,functional,functional,functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
68842,functional,functional,functional,functional,functional,functional,functional,functional,functional
66015,functional,non functional,functional,functional,functional,functional,non functional,functional,functional
21780,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
6796,functional,functional,functional,functional,functional,functional,functional,functional,functional
56069,non functional,functional,functional,functional,functional,functional,functional,functional,functional
54247,functional,functional,non functional,functional,functional,functional,functional,non functional,functional
40874,functional,non functional,non functional,non functional,functional,functional,functional,functional,functional
27638,functional,functional,functional,functional,functional,functional,functional,functional,functional
57276,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
15827,non functional,non functional,functional,functional,functional,functional,functional,functional,non functional
59544,functional,functional,functional,functional,functional,functional,functional,functional,functional
46615,non functional,non functional,non functional,functional,functional,functional,non functional,functional,functional
68917,functional,non functional,functional,functional,functional,functional,functional,functional,functional
32281,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
20795,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
3775,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,functional
56610,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
14626,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
58335,non functional,functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
27434,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
45224,functional,functional,functional,functional,non functional,functional,functional,functional,functional
21863,functional,functional needs repair,functional,functional,functional,functional,functional,functional,functional
13646,functional,functional,functional,functional,functional,functional,functional,functional,functional
45316,functional,functional,functional,functional,functional,functional,functional,functional,functional
39015,functional,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional
62036,functional,functional,non functional,functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
19035,functional,functional,functional,functional,functional,functional,functional,functional,functional
46630,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
15059,functional,functional,non functional,non functional,functional,functional,functional,functional,functional
32074,functional,functional,functional,functional,functional,functional,functional,functional,functional
39871,functional,functional,functional,functional,non functional,functional,functional,functional,functional
32047,functional needs repair,functional needs repair,functional needs repair,non functional,functional,functional,functional,functional,functional
9958,functional,functional,functional,functional,functional,functional,functional,functional,functional
38679,functional,functional,functional,functional,functional,non functional,functional,functional,functional needs repair
67067,non functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional
45840,functional,non functional,functional,functional,functional,functional,non functional,functional,non functional
71345,functional needs repair,functional needs repair,functional,non functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
28783,non functional,functional,functional,functional,functional,functional,functional,functional,functional
56300,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
25363,functional,functional,functional,non functional,functional,functional,functional,functional,functional
57254,functional,functional,non functional,functional,functional,functional,functional,non functional,non functional
4852,functional,functional,functional needs repair,functional,functional,functional,functional,functional,functional needs repair
37650,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
37830,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
55583,functional,functional,functional,functional,functional,functional,functional,functional,non functional
47834,non functional,non functional,non functional,functional,functional,non functional,functional,functional,non functional
33053,functional,functional,functional,functional,functional,functional,functional,functional,functional
40053,functional,functional,functional,functional,functional,functional,functional,functional,functional
35615,functional,functional,functional,non functional,functional,functional,functional,functional needs repair,functional
41935,functional,functional,functional,functional,functional,functional,functional,functional,functional
53719,non functional,non functional,non functional,non functional,functional needs repair,non functional,non functional,non functional,non functional
42782,functional,functional,non functional,functional,functional,non functional,functional,functional needs repair,non functional
24343,functional,functional,functional,functional,functional,functional,functional,functional,functional
44635,functional,functional,functional,functional,functional,functional,functional,functional,functional
46200,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
31185,functional,functional,non functional,functional,non functional,non functional,non functional,functional,non functional
16460,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
17353,functional,functional,functional,functional,functional,functional,functional,functional,functional
5891,functional,functional,functional,non functional,functional,functional,functional,functional,functional
24375,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,functional
5203,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
62385,functional,non functional,functional,functional,non functional,functional,functional,non functional,functional
56459,functional,functional,functional,functional,functional,functional,functional,functional,functional
29879,functional,functional,functional,functional,functional,functional,functional,functional,functional
51522,functional,functional,functional,functional,non functional,functional,functional,functional,non functional
35245,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
40141,functional,functional,functional,functional,functional,functional,non functional,functional,non functional
4870,functional,functional,functional needs repair,non functional,functional needs repair,functional needs repair,functional,non functional,functional
29726,non functional,functional,functional,functional,non functional,functional,functional,functional,non functional
43211,non functional,functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
62320,functional,functional,functional,functional,functional,functional,functional,functional,functional
49299,functional,non functional,non functional,functional,non functional,functional,functional,functional,non functional
35963,functional,functional,functional,functional,functional,non functional,functional,functional,functional
24820,functional,functional,functional,functional,functional,functional,functional,non functional,functional
31300,functional,functional,functional,functional,functional,functional,functional,non functional,functional
47524,functional,functional needs repair,functional needs repair,functional,functional,functional,functional,functional needs repair,functional
3102,functional,functional,functional,functional,functional,functional,functional,functional,functional
65536,functional,functional,functional,functional,functional,functional,functional,functional,functional
61221,functional,functional,functional,functional,functional,functional,functional,functional,functional
72699,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
67398,non functional,functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
13994,functional,functional,functional,functional,functional,functional,functional,functional,functional
27826,functional,functional,functional,functional,functional,functional,functional,functional,functional
1379,functional,functional,functional,non functional,functional,functional,functional needs repair,non functional,functional
2681,functional,functional,functional,non functional,non functional,functional,functional,functional,functional
53171,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
2389,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,functional
55799,functional,non functional,non functional,functional,non functional,functional,non functional,functional,non functional
59952,functional,functional,functional,functional,functional,functional,functional,non functional,functional
13243,functional,functional,functional,functional,functional,functional,functional needs repair,functional,functional
52845,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
7141,non functional,functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
36793,functional,functional needs repair,functional needs repair,non functional,functional,functional,functional needs repair,functional needs repair,functional needs repair
28913,functional,functional,functional,functional,functional needs repair,functional,functional,functional,functional
22001,functional,functional,functional,functional,functional,functional,functional,functional,functional
38907,functional,functional,functional,functional,functional,functional,functional,functional,functional
11162,functional,functional,functional,non functional,functional,functional,functional,functional needs repair,functional
31701,functional,functional,functional,non functional,functional,functional,functional,functional,functional
19800,functional,functional,functional,functional,functional,functional,functional,functional,functional
68622,functional,functional,functional,functional,functional,functional,functional,functional,functional
36197,non functional,non functional,non functional,functional,functional needs repair,non functional,non functional,non functional,functional needs repair
41645,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
41299,non functional,non functional,functional needs repair,functional,functional needs repair,non functional,non functional,non functional,non functional
63689,functional,functional,functional,functional,functional,functional,functional,functional,functional
64196,functional,functional,functional,functional,functional,functional,functional,functional,functional
3309,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
60962,functional,non functional,functional,functional,functional,functional,non functional,functional,functional
69933,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
58960,functional,functional,functional,non functional,functional,functional,functional,functional,functional
52915,non functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
24332,functional,functional,functional needs repair,non functional,functional needs repair,functional,functional,non functional,functional
46346,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
73840,functional,functional,functional,functional,functional,functional,functional,functional,functional
20540,functional,functional,functional,functional,functional,non functional,functional,functional,functional
25032,functional,functional needs repair,functional needs repair,functional,functional needs repair,functional needs repair,functional needs repair,functional,functional
55800,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
30448,functional,non functional,non functional,non functional,non functional,functional,non functional,functional,non functional
31637,functional,functional,functional,functional,non functional,functional,non functional,functional,non functional
57334,functional,functional,functional,functional,functional,functional,non functional,functional,non functional
19040,non functional,non functional,non functional,functional,non functional,functional,functional,functional,functional
16127,functional,functional,functional,functional,functional,functional,functional,functional,functional
18166,functional,functional,functional,functional,functional,functional needs repair,functional needs repair,non functional,functional needs repair
37428,functional,functional,functional needs repair,functional,functional,functional needs repair,functional needs repair,functional,functional needs repair
60465,functional,functional,functional,non functional,functional needs repair,functional,functional,functional,functional needs repair
38724,functional,functional,functional,functional,functional,functional,functional,functional,functional
56443,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional
13307,non functional,non functional,non functional,non functional,functional needs repair,non functional,non functional,functional,non functional
40329,functional,functional,functional,functional,functional,functional,functional,functional,functional
845,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
36907,functional,functional,functional,functional,functional,functional,functional,functional,functional
39583,functional,functional,functional needs repair,non functional,functional,functional needs repair,functional,functional needs repair,functional needs repair
29041,functional,functional,functional,non functional,functional,functional needs repair,non functional,non functional,functional
57528,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
33196,functional,functional,non functional,non functional,functional,functional,functional,functional,non functional
14740,functional,functional,functional,functional,functional,functional,functional,functional,non functional
52667,functional,functional,functional,functional,functional,functional,functional,functional,functional
403,functional,functional,non functional,non functional,functional,non functional,non functional,functional,functional
59130,functional,functional,functional,functional,functional needs repair,functional,functional,functional,functional needs repair
45426,functional,functional needs repair,functional needs repair,functional,functional,functional,functional,functional,functional
66786,functional,functional,functional,non functional,functional,functional,functional,functional,non functional
53110,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
12745,functional,functional,functional,functional,functional,functional,functional,non functional,non functional
26571,functional,functional,functional,functional,functional,functional,functional,functional,functional
21083,non functional,functional,functional,non functional,non functional,functional,non functional,functional,non functional
55246,functional,functional,functional needs repair,functional,functional,functional,functional needs repair,functional,functional
23085,functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
41860,non functional,non functional,functional,functional,non functional,functional,non functional,functional,functional
65999,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
4741,functional,functional,functional,non functional,functional,non functional,non functional,functional,functional
8189,functional,functional,functional,non functional,non functional,functional,non functional,functional,functional
45623,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional needs repair,non functional
51651,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional,non functional
3575,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
73396,functional,functional,non functional,functional,functional,functional,functional,non functional,non functional
70645,functional,functional,functional,functional,functional,functional,functional,functional,functional
55369,functional,functional,functional,functional,functional,functional,non functional,functional,non functional
16473,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
68346,functional,functional,functional,non functional,functional,non functional,non functional,non functional,functional
9481,functional,functional,functional,functional,non functional,functional,functional,functional,functional
21439,functional,functional,functional,functional,functional,functional,functional,functional,functional
835,non functional,non functional,functional,functional,non functional,functional,functional,functional,functional
24667,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
64713,functional,functional,functional,functional,non functional,functional,functional,functional,non functional
35303,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
62990,functional,functional,functional,functional,functional,functional,functional,functional,functional
40591,functional,functional,functional,functional,functional,functional,functional,functional,functional
15240,functional,non functional,functional,non functional,functional,non functional,non functional,non functional,non functional
36088,functional,non functional,functional,functional,non functional,functional,non functional,functional,functional
18110,functional,non functional,functional,functional,functional,functional,functional,functional,non functional
2314,functional,functional,functional,functional,functional,functional,functional,functional,functional
14209,functional,functional,functional,functional,functional,functional,non functional,functional,functional
44542,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
16684,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
18841,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
12368,functional,functional,functional,functional,functional,functional,functional,functional,functional
60453,functional,functional,functional,functional,non functional,functional,functional,functional,functional
66939,functional,functional,functional,non functional,functional,functional,non functional,functional,functional
69334,functional,functional,functional,functional,functional,functional,functional,functional,functional
50057,non functional,functional,functional,non functional,functional,functional,functional,functional,functional
59836,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
44365,functional,functional,functional,non functional,functional,functional,functional,functional,functional
23168,functional,functional,non functional,functional,functional,functional,functional,functional,non functional
27877,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
23909,functional,functional,functional needs repair,functional,functional,functional,functional,functional,functional
15424,functional,functional,functional,functional,functional,functional,functional,functional,functional
46084,non functional,non functional,non functional,functional,functional,non functional,non functional,non functional,functional needs repair
26292,functional,functional,functional,functional,functional,functional,functional,functional,functional
28159,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
57935,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
48599,functional needs repair,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
768,non functional,functional,functional,non functional,non functional,non functional,non functional,non functional,non functional
62438,functional,functional,non functional,functional,functional,non functional,functional,functional,non functional
27414,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair,functional,functional,functional,functional needs repair
46750,functional,functional needs repair,functional needs repair,functional,functional,functional,functional,functional,functional
16436,functional,functional,functional,functional,functional,functional,non functional,functional needs repair,functional
32535,functional,functional,functional,functional,functional,non functional,functional,functional,functional
41758,functional,functional,functional,functional,functional,functional,functional,functional,non functional
66899,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
24670,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
31459,functional,functional,non functional,functional,functional,functional,functional,functional,functional
66195,functional,functional,functional,non functional,non functional,functional,functional,functional,functional
54881,functional,functional needs repair,functional needs repair,functional,functional,functional needs repair,functional,functional,functional
52075,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,functional
41587,functional,functional,functional,non functional,functional,functional,functional,functional,functional needs repair
60141,functional,functional,functional,non functional,functional,functional,functional,functional,functional
41043,functional,functional,functional,functional,functional,functional,functional,functional,functional
43950,functional,functional,functional,functional,functional,functional,functional,functional,functional
48121,functional,functional,non functional,non functional,functional,functional,functional,non functional,non functional
65965,functional,functional,functional,functional,functional,functional,functional,non functional,functional
70664,functional needs repair,functional needs repair,non functional,non functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
4887,functional,functional,functional,functional,functional,functional,functional,functional,non functional
62128,functional,functional,functional,non functional,functional,functional,functional,functional,non functional
62993,non functional,non functional,functional,non functional,non functional,non functional,functional,functional,non functional
54823,non functional,non functional,functional needs repair,non functional,non functional,non functional,non functional,functional,non functional
67336,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
11461,functional,functional,functional,functional,functional,functional,functional,functional,functional
6405,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
3604,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
13496,non functional,functional,functional,non functional,functional,functional,functional,functional,functional
69465,functional,functional,functional,functional,functional,functional,functional,functional,functional
52159,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional,functional
62523,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
12909,functional,functional needs repair,functional needs repair,non functional,functional,functional needs repair,functional needs repair,functional needs repair,functional needs repair
9031,functional,functional,functional,functional,non functional,non functional,functional,functional,functional
38142,functional,functional,functional,non functional,non functional,functional,functional,non functional,non functional
9976,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
12457,functional,functional,functional,functional,functional,functional,functional,functional,functional
83,functional,functional,functional,functional,functional,functional,functional,functional,non functional
41441,functional,functional,functional,functional,functional,functional,functional,functional,functional
37002,non functional,functional,non functional,functional,functional,non functional,non functional,functional,non functional
14445,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
49312,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
37763,functional,functional,functional,functional,functional,functional,functional,functional,functional
18581,functional,functional,functional,functional,functional,functional,functional,functional,functional
17791,functional,functional,functional,functional,functional,functional,functional,functional,functional
37664,functional,functional,functional,functional,functional,functional,functional,functional,functional
55316,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
67418,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,functional needs repair
62465,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
8682,functional,functional,functional needs repair,non functional,functional needs repair,functional,functional,functional needs repair,functional
18905,functional,functional,functional,functional,functional,functional,functional,functional,functional
8129,functional,functional,functional,functional,functional,functional,functional,functional,functional
6490,functional,functional,functional,functional,non functional,functional,functional,functional,functional
58222,functional,functional,non functional,functional,functional,functional,functional,functional,functional
26087,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
54721,functional,functional,functional,functional,functional,functional,functional,functional,non functional
2986,functional,functional,functional,functional,functional,functional,functional,functional,functional
62250,functional,functional,non functional,functional,functional,non functional,functional,functional,functional
13215,functional,functional,functional,functional,functional,functional,functional,functional,functional
40638,functional,non functional,functional,functional,functional,functional,functional,functional,functional
52286,functional,functional,functional,functional,functional,functional,functional,functional,functional
56328,functional,functional,functional,non functional,functional,functional,functional,functional needs repair,functional
66140,functional,functional,functional,functional,functional,functional,functional,functional,functional
73270,functional,functional,functional,functional,non functional,functional,functional,functional,non functional
46918,functional,non functional,non functional,functional,functional,functional,functional,functional,functional
37800,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
42236,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
57022,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
32769,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
60417,non functional,functional,non functional,functional,functional,non functional,non functional,functional,functional
18381,non functional,non functional,non functional,functional,non functional,non functional,non functional,non functional,non functional
45799,functional,functional,functional,functional,functional,functional,functional,non functional,functional
16607,functional,functional,functional,non functional,functional,functional,functional,functional,functional
34727,functional,non functional,non functional,functional,functional,functional,functional,functional,functional
65469,non functional,non functional,non functional,functional,functional,non functional,non functional,non functional,functional
44913,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
50367,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
50806,functional,functional,non functional,functional,non functional,functional,functional,functional,functional
40770,functional,functional,functional needs repair,functional,functional,functional,functional,functional needs repair,non functional
3166,functional,non functional,functional,functional,non functional,functional,functional,non functional,functional
43932,functional,functional,functional,functional,non functional,functional,functional,functional needs repair,functional needs repair
9054,functional,functional,non functional,functional,functional,functional,functional,functional,functional
3088,functional,non functional,functional,functional,functional,non functional,non functional,functional,functional
55589,functional,functional,functional,functional,functional,functional,functional,functional,functional
56199,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
43749,functional,functional,functional,functional,functional,functional,functional,functional,functional
70409,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
47010,functional,functional,functional,functional,functional,functional,non functional,functional,functional needs repair
30427,functional,functional,functional,functional,functional,functional,functional,functional,functional
31052,functional,functional,functional,functional,functional,functional,non functional,functional,functional
14338,functional,functional needs repair,non functional,functional,functional needs repair,functional,functional needs repair,functional,non functional
53535,functional,functional,functional,functional,functional,functional,functional,functional,functional
54524,functional,functional,functional,functional,functional,functional,functional,functional,functional
34913,functional,functional,functional needs repair,functional,functional needs repair,functional,functional,functional,functional
70918,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
55805,functional,functional,functional,functional,functional,functional,functional,functional,functional
46480,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
6477,functional,functional,functional,functional,functional,functional,functional,functional,functional
68683,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
64153,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
5836,functional,functional,functional,non functional,functional,functional,functional,functional,functional
47654,functional,functional,functional,non functional,functional,functional,functional,non functional,functional
47513,functional,functional,functional,functional,functional,functional,non functional,functional,functional
70105,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional,non functional
65915,functional,non functional,functional,non functional,functional,functional,functional,functional,non functional
72961,functional,functional,functional,functional,functional,functional,functional,functional needs repair,functional
20292,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
9641,functional,functional,functional,functional,functional,functional,functional,functional,functional
43467,functional,functional,functional,functional,functional,functional,functional,functional,functional
34468,functional,functional,non functional,non functional,functional needs repair,functional,functional,non functional,non functional
24910,functional,functional,functional,functional,functional,functional,functional,functional,functional
59441,functional,functional,functional,non functional,functional,functional,functional,functional,functional
73772,functional,functional,functional,non functional,functional,functional,functional,functional,non functional
67356,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
5377,functional,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional
56133,functional,functional,functional,non functional,functional,functional,functional,functional,functional
38004,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
65662,non functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
68465,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,functional
9610,functional,functional,functional,non functional,functional,functional,functional,functional,functional
13502,functional,functional,functional,functional,functional,functional,functional,functional,functional
53131,non functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
43862,functional,non functional,functional,functional,functional,functional,functional,functional,functional
41294,non functional,functional,non functional,functional,non functional,non functional,functional,functional,functional
29623,functional,functional,functional,functional,functional,functional,functional,functional,functional
73956,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional needs repair,non functional
69743,non functional,non functional,functional,non functional,functional,non functional,non functional,non functional,functional
54200,non functional,non functional,non functional,non functional,non functional,non functional,functional,functional,non functional
24857,non functional,functional,non functional,functional,functional,non functional,non functional,functional,functional
46305,non functional,functional needs repair,functional,non functional,non functional,functional needs repair,functional needs repair,functional,non functional
26411,non functional,non functional,non functional,functional,functional,non functional,non functional,functional,non functional
62264,functional,functional,functional,functional,functional,functional,functional,functional,functional needs repair
31079,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,functional needs repair
43949,functional,functional,functional,functional,non functional,functional,functional,functional,non functional
10433,non functional,non functional,non functional,functional,non functional,non functional,functional,functional,non functional
26672,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
21265,functional,functional,functional,functional,functional,functional,functional,functional,functional
10059,functional,functional,functional,functional,functional,functional,functional,functional,functional
60084,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
53252,functional,non functional,functional,functional,functional,functional,functional,functional,functional
32035,functional,functional,functional,functional,functional,functional,functional,functional,functional
72898,functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
34460,functional,functional,functional,functional,functional,functional,functional,functional,functional
68561,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
20908,functional,functional,functional,functional,functional,functional,functional,functional,non functional
34485,functional,functional,functional,functional,functional,functional,functional,functional,functional
58522,functional,functional,functional,functional,functional,functional,functional,non functional,non functional
19340,functional,functional,functional,non functional,functional needs repair,functional,functional,non functional,functional
24072,non functional,non functional,non functional,functional,non functional,non functional,non functional,functional,non functional
1597,non functional,functional,functional,functional,functional needs repair,functional needs repair,functional needs repair,functional,functional needs repair
21617,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
4294,functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair,non functional,functional,functional needs repair
62458,non functional,functional,functional,functional,non functional,functional,non functional,functional,functional
60703,functional,functional,non functional,functional,functional,non functional,non functional,functional,non functional
54351,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional
3655,functional,functional,non functional,functional,non functional,functional,functional,functional,functional
52100,non functional,non functional,non functional,non functional,non functional,non functional,functional,non functional,non functional
35989,non functional,functional needs repair,functional needs repair,non functional,functional needs repair,functional needs repair,non functional,functional,functional needs repair
34759,functional,non functional,functional,functional,non functional,non functional,non functional,functional,non functional
55209,functional,functional,non functional,functional,functional,functional,functional,functional,functional
21606,functional,functional,non functional,functional,functional,functional,functional,functional,non functional
20748,non functional,functional,functional,functional needs repair,functional,functional,non functional,functional needs repair,functional
73003,functional,functional needs repair,functional needs repair,non functional,functional,functional,functional,functional,functional
29246,non functional,non functional,non functional,non functional,non functional,non functional,non functional,functional needs repair,non functional
29896,non functional,non functional,functional,functional,non functional,functional,non functional,non functional,functional
30122,functional,non functional,non functional,non functional,functional,non functional,functional,functional,non functional
37159,non functional,non functional,non functional,non functional,functional,non functional,non functional,functional,non functional
62494,functional,functional,non functional,functional,functional,non functional,functional,non functional,functional
54202,functional,functional,functional,non functional,functional,functional,non functional,functional,functional
60549,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional,non functional
63553,non functional,functional,functional,non functional,non functional,functional,functional,functional,functional
13980,functional,functional,non functional,functional,functional,non functional,non functional,functional,functional
56243,functional,functional,functional,non functional,non functional,functional,functional,functional needs repair,functional
23544,functional,functional,functional,functional,non functional,functional,functional,functional,functional
73601,functional,functional,functional,functional,functional,functional,non functional,functional,functional
